location,date,total_vaccinations,population,US_Vaccination_Percentage
United States,2020-09-26 00:00:00.000,NULL,331002647,NULL
United States,2020-09-27 00:00:00.000,NULL,331002647,NULL
United States,2020-09-28 00:00:00.000,NULL,331002647,NULL
United States,2020-09-29 00:00:00.000,NULL,331002647,NULL
United States,2020-09-30 00:00:00.000,NULL,331002647,NULL
United States,2020-10-01 00:00:00.000,NULL,331002647,NULL
United States,2020-10-02 00:00:00.000,NULL,331002647,NULL
United States,2020-10-03 00:00:00.000,NULL,331002647,NULL
United States,2020-10-04 00:00:00.000,NULL,331002647,NULL
United States,2020-10-05 00:00:00.000,NULL,331002647,NULL
United States,2020-10-06 00:00:00.000,NULL,331002647,NULL
United States,2020-10-07 00:00:00.000,NULL,331002647,NULL
United States,2020-10-08 00:00:00.000,NULL,331002647,NULL
United States,2020-10-09 00:00:00.000,NULL,331002647,NULL
United States,2020-10-10 00:00:00.000,NULL,331002647,NULL
United States,2020-10-11 00:00:00.000,NULL,331002647,NULL
United States,2020-10-12 00:00:00.000,NULL,331002647,NULL
United States,2020-10-13 00:00:00.000,NULL,331002647,NULL
United States,2020-10-14 00:00:00.000,NULL,331002647,NULL
United States,2020-10-15 00:00:00.000,NULL,331002647,NULL
United States,2020-10-16 00:00:00.000,NULL,331002647,NULL
United States,2020-10-17 00:00:00.000,NULL,331002647,NULL
United States,2020-10-18 00:00:00.000,NULL,331002647,NULL
United States,2020-10-19 00:00:00.000,NULL,331002647,NULL
United States,2020-10-20 00:00:00.000,NULL,331002647,NULL
United States,2020-10-21 00:00:00.000,NULL,331002647,NULL
United States,2020-10-22 00:00:00.000,NULL,331002647,NULL
United States,2020-10-23 00:00:00.000,NULL,331002647,NULL
United States,2020-10-24 00:00:00.000,NULL,331002647,NULL
United States,2020-10-25 00:00:00.000,NULL,331002647,NULL
United States,2020-10-26 00:00:00.000,NULL,331002647,NULL
United States,2020-10-27 00:00:00.000,NULL,331002647,NULL
United States,2020-10-28 00:00:00.000,NULL,331002647,NULL
United States,2020-10-29 00:00:00.000,NULL,331002647,NULL
United States,2020-10-30 00:00:00.000,NULL,331002647,NULL
United States,2020-10-31 00:00:00.000,NULL,331002647,NULL
United States,2020-11-01 00:00:00.000,NULL,331002647,NULL
United States,2020-11-02 00:00:00.000,NULL,331002647,NULL
United States,2020-11-03 00:00:00.000,NULL,331002647,NULL
United States,2020-11-04 00:00:00.000,NULL,331002647,NULL
United States,2020-11-05 00:00:00.000,NULL,331002647,NULL
United States,2020-11-06 00:00:00.000,NULL,331002647,NULL
United States,2020-11-07 00:00:00.000,NULL,331002647,NULL
United States,2020-11-08 00:00:00.000,NULL,331002647,NULL
United States,2020-11-09 00:00:00.000,NULL,331002647,NULL
United States,2020-11-10 00:00:00.000,NULL,331002647,NULL
United States,2020-11-11 00:00:00.000,NULL,331002647,NULL
United States,2020-11-12 00:00:00.000,NULL,331002647,NULL
United States,2020-11-13 00:00:00.000,NULL,331002647,NULL
United States,2020-11-14 00:00:00.000,NULL,331002647,NULL
United States,2020-11-15 00:00:00.000,NULL,331002647,NULL
United States,2020-11-16 00:00:00.000,NULL,331002647,NULL
United States,2020-11-17 00:00:00.000,NULL,331002647,NULL
United States,2020-11-18 00:00:00.000,NULL,331002647,NULL
United States,2020-11-19 00:00:00.000,NULL,331002647,NULL
United States,2020-11-20 00:00:00.000,NULL,331002647,NULL
United States,2020-11-21 00:00:00.000,NULL,331002647,NULL
United States,2020-11-22 00:00:00.000,NULL,331002647,NULL
United States,2020-11-23 00:00:00.000,NULL,331002647,NULL
United States,2020-11-24 00:00:00.000,NULL,331002647,NULL
United States,2020-11-25 00:00:00.000,NULL,331002647,NULL
United States,2020-11-26 00:00:00.000,NULL,331002647,NULL
United States,2020-11-27 00:00:00.000,NULL,331002647,NULL
United States,2020-11-28 00:00:00.000,NULL,331002647,NULL
United States,2020-11-29 00:00:00.000,NULL,331002647,NULL
United States,2020-11-30 00:00:00.000,NULL,331002647,NULL
United States,2020-12-01 00:00:00.000,NULL,331002647,NULL
United States,2020-12-02 00:00:00.000,NULL,331002647,NULL
United States,2020-12-03 00:00:00.000,NULL,331002647,NULL
United States,2020-12-04 00:00:00.000,NULL,331002647,NULL
United States,2020-12-05 00:00:00.000,NULL,331002647,NULL
United States,2020-12-06 00:00:00.000,NULL,331002647,NULL
United States,2020-12-07 00:00:00.000,NULL,331002647,NULL
United States,2020-12-08 00:00:00.000,NULL,331002647,NULL
United States,2020-12-09 00:00:00.000,NULL,331002647,NULL
United States,2020-12-10 00:00:00.000,NULL,331002647,NULL
United States,2020-12-11 00:00:00.000,NULL,331002647,NULL
United States,2020-12-12 00:00:00.000,NULL,331002647,NULL
United States,2020-12-13 00:00:00.000,NULL,331002647,NULL
United States,2020-12-14 00:00:00.000,NULL,331002647,NULL
United States,2020-12-15 00:00:00.000,NULL,331002647,NULL
United States,2020-12-16 00:00:00.000,NULL,331002647,NULL
United States,2020-12-17 00:00:00.000,NULL,331002647,NULL
United States,2020-12-18 00:00:00.000,NULL,331002647,NULL
United States,2020-12-19 00:00:00.000,NULL,331002647,NULL
United States,2020-12-20 00:00:00.000,556208,331002647,0.168037326903914
United States,2020-12-21 00:00:00.000,614117,331002647,0.185532353159701
United States,2020-12-22 00:00:00.000,NULL,331002647,NULL
United States,2020-12-23 00:00:00.000,1008025,331002647,0.304536839549806
United States,2020-12-24 00:00:00.000,NULL,331002647,NULL
United States,2020-12-25 00:00:00.000,NULL,331002647,NULL
United States,2020-12-26 00:00:00.000,1944585,331002647,0.58748321731699
United States,2020-12-27 00:00:00.000,NULL,331002647,NULL
United States,2020-12-28 00:00:00.000,2127143,331002647,0.642636250579591
United States,2020-12-29 00:00:00.000,NULL,331002647,NULL
United States,2020-12-30 00:00:00.000,2794588,331002647,0.844279653147306
United States,2020-12-31 00:00:00.000,NULL,331002647,NULL
United States,2021-01-01 00:00:00.000,NULL,331002647,NULL
United States,2021-01-02 00:00:00.000,4225756,331002647,1.27665323473984
United States,2021-01-03 00:00:00.000,NULL,331002647,NULL
United States,2021-01-04 00:00:00.000,4563260,331002647,1.37861737401756
United States,2021-01-05 00:00:00.000,4836469,331002647,1.46115719733202
United States,2021-01-06 00:00:00.000,5306797,331002647,1.6032491123855
United States,2021-01-07 00:00:00.000,5919418,331002647,1.78832950541329
United States,2021-01-08 00:00:00.000,6688231,331002647,2.0205974364912
United States,2021-01-09 00:00:00.000,NULL,331002647,NULL
United States,2021-01-10 00:00:00.000,NULL,331002647,NULL
United States,2021-01-11 00:00:00.000,8987322,331002647,2.71518130790054
United States,2021-01-12 00:00:00.000,9327138,331002647,2.81784393101847
United States,2021-01-13 00:00:00.000,10278462,331002647,3.10525069607676
United States,2021-01-14 00:00:00.000,11148991,331002647,3.36824829077575
United States,2021-01-15 00:00:00.000,12279180,331002647,3.70969238804909
United States,2021-01-16 00:00:00.000,NULL,331002647,NULL
United States,2021-01-17 00:00:00.000,NULL,331002647,NULL
United States,2021-01-18 00:00:00.000,NULL,331002647,NULL
United States,2021-01-19 00:00:00.000,15707588,331002647,4.74545691472975
United States,2021-01-20 00:00:00.000,16525281,331002647,4.99249209931545
United States,2021-01-21 00:00:00.000,17546374,331002647,5.30097694354692
United States,2021-01-22 00:00:00.000,19107959,331002647,5.77275111639817
United States,2021-01-23 00:00:00.000,20537990,331002647,6.20478119620596
United States,2021-01-24 00:00:00.000,21848655,331002647,6.60074932875084
United States,2021-01-25 00:00:00.000,22734243,331002647,6.86829643389529
United States,2021-01-26 00:00:00.000,23540994,331002647,7.11202590473544
United States,2021-01-27 00:00:00.000,24652634,331002647,7.44786611933046
United States,2021-01-28 00:00:00.000,26193682,331002647,7.91343581007677
United States,2021-01-29 00:00:00.000,27884661,331002647,8.42430151321418
United States,2021-01-30 00:00:00.000,29577902,331002647,8.93585059457243
United States,2021-01-31 00:00:00.000,31123299,331002647,9.40273417209259
United States,2021-02-01 00:00:00.000,32222402,331002647,9.73478680368378
United States,2021-02-02 00:00:00.000,32780860,331002647,9.90350388345988
United States,2021-02-03 00:00:00.000,33878254,331002647,10.2350402049806
United States,2021-02-04 00:00:00.000,35203710,331002647,10.635476881851
United States,2021-02-05 00:00:00.000,36819212,331002647,11.1235400483066
United States,2021-02-06 00:00:00.000,39037964,331002647,11.7938525126054
United States,2021-02-07 00:00:00.000,41210937,331002647,12.4503345739105
United States,2021-02-08 00:00:00.000,42417617,331002647,12.8148875498268
United States,2021-02-09 00:00:00.000,43206190,331002647,13.0531252216844
United States,2021-02-10 00:00:00.000,44769970,331002647,13.5255625312265
United States,2021-02-11 00:00:00.000,46390270,331002647,14.015075232918
United States,2021-02-12 00:00:00.000,48410558,331002647,14.6254292643164
United States,2021-02-13 00:00:00.000,50641884,331002647,15.2995404897774
United States,2021-02-14 00:00:00.000,52884356,331002647,15.977019059911
United States,2021-02-15 00:00:00.000,NULL,331002647,NULL
United States,2021-02-16 00:00:00.000,55220364,331002647,16.6827560143348
United States,2021-02-17 00:00:00.000,56281827,331002647,17.0034371356553
United States,2021-02-18 00:00:00.000,57737767,331002647,17.4432946453144
United States,2021-02-19 00:00:00.000,59585043,331002647,18.0013796083026
United States,2021-02-20 00:00:00.000,61289500,331002647,18.5163171822007
United States,2021-02-21 00:00:00.000,63090634,331002647,19.0604620753984
United States,2021-02-22 00:00:00.000,64177474,331002647,19.38880990278
United States,2021-02-23 00:00:00.000,65032083,331002647,19.6469978682678
United States,2021-02-24 00:00:00.000,66464947,331002647,20.0798838324698
United States,2021-02-25 00:00:00.000,68274117,331002647,20.6264565008146
United States,2021-02-26 00:00:00.000,70454064,331002647,21.2850454939111
United States,2021-02-27 00:00:00.000,72806180,331002647,21.995648874675
United States,2021-02-28 00:00:00.000,75236003,331002647,22.7297285027452
United States,2021-03-01 00:00:00.000,76899987,331002647,23.2324386819783
United States,2021-03-02 00:00:00.000,78631601,331002647,23.7555807219874
United States,2021-03-03 00:00:00.000,80540474,331002647,24.332274901717
United States,2021-03-04 00:00:00.000,82572848,331002647,24.9462802634325
United States,2021-03-05 00:00:00.000,85008094,331002647,25.6819982469808
United States,2021-03-06 00:00:00.000,87912323,331002647,26.5594018044212
United States,2021-03-07 00:00:00.000,90351750,331002647,27.2963829198623
United States,2021-03-08 00:00:00.000,92089852,331002647,27.8214850650424
United States,2021-03-09 00:00:00.000,93692598,331002647,28.3056944858813
United States,2021-03-10 00:00:00.000,95721290,331002647,28.9185874697854
United States,2021-03-11 00:00:00.000,98203893,331002647,29.6686125896752
United States,2021-03-12 00:00:00.000,101128005,331002647,30.552023047719
United States,2021-03-13 00:00:00.000,105703501,331002647,31.9343370689117
United States,2021-03-14 00:00:00.000,107060274,331002647,32.3442349994259
United States,2021-03-15 00:00:00.000,109081860,331002647,32.9549811727034
United States,2021-03-16 00:00:00.000,110737856,331002647,33.4552780781841
United States,2021-03-17 00:00:00.000,113037627,331002647,34.150067386017
United States,2021-03-18 00:00:00.000,115730008,331002647,34.9634690383609
United States,2021-03-19 00:00:00.000,118313818,331002647,35.7440700466664
United States,2021-03-20 00:00:00.000,121441497,331002647,36.6889806171248
United States,2021-03-21 00:00:00.000,124481412,331002647,37.6073765959944
United States,2021-03-22 00:00:00.000,126509736,331002647,38.2201584025399
United States,2021-03-23 00:00:00.000,128217029,331002647,38.7359527671693
United States,2021-03-24 00:00:00.000,130473853,331002647,39.4177672542903
United States,2021-03-25 00:00:00.000,133305295,331002647,40.2731809573716
United States,2021-03-26 00:00:00.000,136684688,331002647,41.2941374453722
United States,2021-03-27 00:00:00.000,140180735,331002647,42.3503365518403
United States,2021-03-28 00:00:00.000,143462691,331002647,43.3418561151265
United States,2021-03-29 00:00:00.000,145812835,331002647,44.051863730262
United States,2021-03-30 00:00:00.000,147602345,331002647,44.5924968690658
United States,2021-03-31 00:00:00.000,150273292,331002647,45.3994230444931
United States,2021-04-01 00:00:00.000,153631404,331002647,46.4139502787722
United States,2021-04-02 00:00:00.000,157606463,331002647,47.6148648442681
United States,2021-04-03 00:00:00.000,161688422,331002647,48.8480752240027
United States,2021-04-04 00:00:00.000,165053746,331002647,49.8647812928215
United States,2021-04-05 00:00:00.000,167187795,331002647,50.5095039315501
United States,2021-04-06 00:00:00.000,168592075,331002647,50.9337543152638
United States,2021-04-07 00:00:00.000,171476655,331002647,51.8052216663995
United States,2021-04-08 00:00:00.000,174879716,331002647,52.8333285503907
United States,2021-04-09 00:00:00.000,178837781,331002647,54.0291090179711
United States,2021-04-10 00:00:00.000,183467709,331002647,55.4278676206478
United States,2021-04-11 00:00:00.000,187047131,331002647,56.5092553474353
United States,2021-04-12 00:00:00.000,189692045,331002647,57.3083166310752
United States,2021-04-13 00:00:00.000,192282781,331002647,58.0910100697775
United States,2021-04-14 00:00:00.000,194791836,331002647,58.8490266665451
United States,2021-04-15 00:00:00.000,198317040,331002647,59.9140344638996
United States,2021-04-16 00:00:00.000,202282923,331002647,61.1121768461266
United States,2021-04-17 00:00:00.000,205871913,331002647,62.196455184239
United States,2021-04-18 00:00:00.000,209406814,331002647,63.2643925654166
United States,2021-04-19 00:00:00.000,211581309,331002647,63.9213344417756
United States,2021-04-20 00:00:00.000,213388238,331002647,64.4672300762598
United States,2021-04-21 00:00:00.000,215951909,331002647,65.2417468431907
United States,2021-04-22 00:00:00.000,218947643,331002647,66.146795194662
United States,2021-04-23 00:00:00.000,222322230,331002647,67.1662997305275
United States,2021-04-24 00:00:00.000,225640460,331002647,68.1687781185629
United States,2021-04-25 00:00:00.000,228661408,331002647,69.0814439317762
United States,2021-04-26 00:00:00.000,230768454,331002647,69.7180086297014
United States,2021-04-27 00:00:00.000,232407669,331002647,70.2132357872051
United States,2021-04-28 00:00:00.000,234639414,331002647,70.8874735977565
United States,2021-04-29 00:00:00.000,237360493,331002647,71.7095452714008
United States,2021-04-30 00:00:00.000,240159677,331002647,72.5552134330817
